Findings,Descrptions,Solutions
Insecure object deserialization,"Serialization is the process of turning some object into a data format that can be restored later.  People often serialize objects in order to save them to storage, or to send as part of communications.  Deserialization is the reverse of that process, taking data structured from some format, and rebuilding it into an object. Today, the most popular data format for serializing data is JSON. Before that, it was XML.  However, many programming languages offer a native capability for serializing objects. These native formats usually offer more features than JSON or XML, including customizability of the serialization process.  Unfortunately, the features of these native deserialization mechanisms can be repurposed for malicious effect when operating on untrusted data. Attacks against deserializers have been found to allow denialofservice, access control, and remote code execution (RCE) attacks.","Serialization is the process of turning some object into a data format that can be restored later.  People often serialize objects in order to save them to storage, or to send as part of communications.  Deserialization is the reverse of that process, taking data structured from some format, and rebuilding it into an object. Today, the most popular data format for serializing data is JSON. Before that, it was XML.  However, many programming languages offer a native capability for serializing objects. These native formats usually offer more features than JSON or XML, including customizability of the serialization process.  Unfortunately, the features of these native deserialization mechanisms can be repurposed for malicious effect when operating on untrusted data. Attacks against deserializers have been found to allow denialofservice, access control, and remote code execution (RCE) attacks."
Software security development lifecycle,"In software engineering, a software development process is the process of dividing software development work into distinct phases to improve design, product management, and project management.  It is also known as a software development life cycle. The methodology may include the  predefinition of specific deliverables and artifacts that are created and completed by a  project team to develop or maintain an application  In this software security development lifecycle we can also integrate security test automation and other quality pilars for security.","In software engineering, a software development process is the process of dividing software development work into distinct phases to improve design, product management, and project management.  It is also known as a software development life cycle. The methodology may include the  predefinition of specific deliverables and artifacts that are created and completed by a  project team to develop or maintain an application  In this software security development lifecycle we can also integrate security test automation and other quality pilars for security."
Functional security constraints,"Access Control (or Authorization) is the process of granting or denying specific requests from a user,  program, or process. Access control also involves the act of granting and revoking those privileges.  It should be noted that authorization (verifying access to specific features or resources) is not equivalent to authentication (verifying identity).","Access Control (or Authorization) is the process of granting or denying specific requests from a user,  program, or process. Access control also involves the act of granting and revoking those privileges.  It should be noted that authorization (verifying access to specific features or resources) is not equivalent to authentication (verifying identity)."
Key management and key lifecycle by NIST,"This knowledgebase item refers to the NIST standard for key managment and key lifecycle.  This Recommendation provides cryptographic key management guidance. It consists of three parts. Part 1 provides general guidance and best practices for the management of cryptographic keying material. Part 2 provides guidance on policy and security planning requirements for U.S. government agencies. Finally, Part 3 provides guidance when using the cryptographic features of current systems.","This knowledgebase item refers to the NIST standard for key managment and key lifecycle.  This Recommendation provides cryptographic key management guidance. It consists of three parts. Part 1 provides general guidance and best practices for the management of cryptographic keying material. Part 2 provides guidance on policy and security planning requirements for U.S. government agencies. Finally, Part 3 provides guidance when using the cryptographic features of current systems."
Key vault,"Keys should remain in a protected key vault at all times.  In particular, ensure that there is a gap between the threat vectors  that have direct access to the data and the threat vectors that have direct access to the keys.  This implies that keys should not be stored on the application or web server  (assuming that application attackers are part of the relevant threat model).  A key vault helps secure, store and tightly control access to tokens, passwords, certificates and, encryption keys for protecting secrets and other sensitive data.    Imagine the use of a keyvault in the following scenario''s  * Running a docker container and provisioning it with secrets over CLI * Checking in API keys in your source repositories * Encrypting sensitive data at rest  Vault provides encryption as a service with centralized key management to simplify encrypting data  in transit and at rest across clouds and datacenters.  a Vault can be used to encrypt/decrypt data that is stored elsewhere. The primary use of this is to allow applications to encrypt their data while still storing it in the primary data store.  The benefit of this is that developers do not need to worry about how to properly encrypt data. The responsibility of encryption is on Vault and the security team managing it, and developers just encrypt/decrypt data as needed.","Keys should remain in a protected key vault at all times.  In particular, ensure that there is a gap between the threat vectors  that have direct access to the data and the threat vectors that have direct access to the keys.  This implies that keys should not be stored on the application or web server  (assuming that application attackers are part of the relevant threat model).  A key vault helps secure, store and tightly control access to tokens, passwords, certificates and, encryption keys for protecting secrets and other sensitive data.    Imagine the use of a keyvault in the following scenario''s  * Running a docker container and provisioning it with secrets over CLI * Checking in API keys in your source repositories * Encrypting sensitive data at rest  Vault provides encryption as a service with centralized key management to simplify encrypting data  in transit and at rest across clouds and datacenters.  a Vault can be used to encrypt/decrypt data that is stored elsewhere. The primary use of this is to allow applications to encrypt their data while still storing it in the primary data store.  The benefit of this is that developers do not need to worry about how to properly encrypt data. The responsibility of encryption is on Vault and the security team managing it, and developers just encrypt/decrypt data as needed."
Secrets shared with the client,"The CIA triad of confidentiality, integrity, and availability is at the heart of information security.  Confidentiality In information security, confidentiality ""is the property, that information is not made available or disclosed to unauthorized individuals, entities, or processes.""  While similar to ""privacy,"" the two words aren''t interchangeable. Rather, confidentiality  is a component of privacy that implements to protect our data from unauthorized viewers. Examples of confidentiality of electronic data being compromised include laptop theft,  password theft, or sensitive emails being sent to the incorrect individuals.  Integrity In information security, data integrity means maintaining and assuring the accuracy and completeness of data over its entire lifecycle. This means that data cannot be modified in an unauthorized or undetected manner. This is not the same thing as referential integrity in databases, although it can be viewed as a special case of consistency as understood in the classic ACID model of transaction processing. Information security systems typically provide message integrity along side to confidentiality.  Availability For any information system to serve its purpose, the information must be available when it is needed. This means the computing systems used to store and process the information,  the security controls used to protect it, and the communication channels used to access it must be functioning correctly. High availability systems aim to remain available at all times, preventing service disruptions due to power outages, hardware failures,  and system upgrades. Ensuring availability also involves preventing denialofservice attacks,  such as a flood of incoming messages to the target system, essentially forcing it to shut down.","The CIA triad of confidentiality, integrity, and availability is at the heart of information security.  Confidentiality In information security, confidentiality ""is the property, that information is not made available or disclosed to unauthorized individuals, entities, or processes.""  While similar to ""privacy,"" the two words aren''t interchangeable. Rather, confidentiality  is a component of privacy that implements to protect our data from unauthorized viewers. Examples of confidentiality of electronic data being compromised include laptop theft,  password theft, or sensitive emails being sent to the incorrect individuals.  Integrity In information security, data integrity means maintaining and assuring the accuracy and completeness of data over its entire lifecycle. This means that data cannot be modified in an unauthorized or undetected manner. This is not the same thing as referential integrity in databases, although it can be viewed as a special case of consistency as understood in the classic ACID model of transaction processing. Information security systems typically provide message integrity along side to confidentiality.  Availability For any information system to serve its purpose, the information must be available when it is needed. This means the computing systems used to store and process the information,  the security controls used to protect it, and the communication channels used to access it must be functioning correctly. High availability systems aim to remain available at all times, preventing service disruptions due to power outages, hardware failures,  and system upgrades. Ensuring availability also involves preventing denialofservice attacks,  such as a flood of incoming messages to the target system, essentially forcing it to shut down."
Source control systems in place,"We want to test our applications and infrastructure for out of date and insecure components and services that are running periodically.   We can configure our CI environment in such a way that we have jobs running that do automated continuous (hourly, daily, weekly, monthly) security scanning on our infrastructure and applications.","We want to test our applications and infrastructure for out of date and insecure components and services that are running periodically.   We can configure our CI environment in such a way that we have jobs running that do automated continuous (hourly, daily, weekly, monthly) security scanning on our infrastructure and applications."
Security test automation,"Security tools can be easiliy integrated into CI/CD pipelines. Generally the recommended way is to containerize your tooling to have a CI environment agnostic approach so you can build and configure them once and than run them everywhere you need. Especially with autonomous  self steering developer teams this is a really important development.  There are a lot of security tools on the market both free and premium. It is for you to decide which tools cover your technology stacks most optimal.  There are different category tooling such as but not limited to,   DAST tools   Web Application Vulnerability Scanners are automated tools that scan   web applications, normally from the outside, to look for security   vulnerabilities such as Crosssite scripting, SQL Injection,    Command Injection, Path Traversal and insecure server configuration.    This category of tools is frequently referred to as Dynamic Application    ecurity Testing (DAST) Tools.     SAST tools   Source code analysis tools, also referred to as Static    Application Security Testing (SAST) Tools, are designed to    analyze source code and/or compiled versions of code to help    find security flaws.     Dependency checker tools    up to 90 percent of an application typically consists of thirdparty components.    A depdendenct checker builds up the applications dependency tree and correlates    all the third party components to known vulnerabilities to see if    by using these libraries, you are introducing vulnerable components in your     application. Some Source code repositories provide dependency checking out    of the box these days.","Security tools can be easiliy integrated into CI/CD pipelines. Generally the recommended way is to containerize your tooling to have a CI environment agnostic approach so you can build and configure them once and than run them everywhere you need. Especially with autonomous  self steering developer teams this is a really important development.  There are a lot of security tools on the market both free and premium. It is for you to decide which tools cover your technology stacks most optimal.  There are different category tooling such as but not limited to,   DAST tools   Web Application Vulnerability Scanners are automated tools that scan   web applications, normally from the outside, to look for security   vulnerabilities such as Crosssite scripting, SQL Injection,    Command Injection, Path Traversal and insecure server configuration.    This category of tools is frequently referred to as Dynamic Application    ecurity Testing (DAST) Tools.     SAST tools   Source code analysis tools, also referred to as Static    Application Security Testing (SAST) Tools, are designed to    analyze source code and/or compiled versions of code to help    find security flaws.     Dependency checker tools    up to 90 percent of an application typically consists of thirdparty components.    A depdendenct checker builds up the applications dependency tree and correlates    all the third party components to known vulnerabilities to see if    by using these libraries, you are introducing vulnerable components in your     application. Some Source code repositories provide dependency checking out    of the box these days."
Referrer policy header,"Requests made from a document, and for navigations away from that document are associated with a Referer header. While the header can be suppressed for links with the noreferrer link type, authors might wish to control the Referer header more directly for a number of reasons,   Privacy A social networking site has a profile page for each of its users,  and users add hyperlinks from their profile page to their favorite bands.  The social networking site might not wish to leak the user’s profile URL  to the band web sites when other users follow those hyperlinks  (because the profile URLs might reveal the identity of the owner of the profile).  Some social networking sites, however, might wish to inform the band web sites that the links originated from the social networking site but not reveal which specific user’s profile contained the links.   Security A web application uses HTTPS and a URLbased session identifier. The web application might wish to link to HTTPS resources on other web sites without leaking the user’s session  identifier in the URL.  Alternatively, a web application may use URLs which themselves grant some capability.  Controlling the referrer can help prevent these capability URLs from leaking via  referrer headers.  Note that there are other ways for capability URLs to leak, and controlling  the referrer is not enough to control all those potential leaks.   Trackback A blog hosted over HTTPS might wish to link to a blog hosted over HTTP and  receive trackback links.","Requests made from a document, and for navigations away from that document are associated with a Referer header. While the header can be suppressed for links with the noreferrer link type, authors might wish to control the Referer header more directly for a number of reasons,   Privacy A social networking site has a profile page for each of its users,  and users add hyperlinks from their profile page to their favorite bands.  The social networking site might not wish to leak the user’s profile URL  to the band web sites when other users follow those hyperlinks  (because the profile URLs might reveal the identity of the owner of the profile).  Some social networking sites, however, might wish to inform the band web sites that the links originated from the social networking site but not reveal which specific user’s profile contained the links.   Security A web application uses HTTPS and a URLbased session identifier. The web application might wish to link to HTTPS resources on other web sites without leaking the user’s session  identifier in the URL.  Alternatively, a web application may use URLs which themselves grant some capability.  Controlling the referrer can help prevent these capability URLs from leaking via  referrer headers.  Note that there are other ways for capability URLs to leak, and controlling  the referrer is not enough to control all those potential leaks.   Trackback A blog hosted over HTTPS might wish to link to a blog hosted over HTTP and  receive trackback links."
Insecure application defaults,"When default sample applications, default users, etc are not removed from your production environment you are increasing an attackers potentiall attack surface significantly.","When default sample applications, default users, etc are not removed from your production environment you are increasing an attackers potentiall attack surface significantly."
Infrastructure as code,"Infrastructure as code (IaC) is the process of managing and provisioning  applications and infrastrucutre through machinereadable definition files,  rather than physical hardware configuration or interactive configuration tools","Infrastructure as code (IaC) is the process of managing and provisioning  applications and infrastrucutre through machinereadable definition files,  rather than physical hardware configuration or interactive configuration tools"
GraphQL security,"GraphQL is an opensource data query and manipulation language for APIs,  and a runtime for fulfilling queries with existing data. GraphQL was  developed internally by Facebook in 2012 before being publicly released i n 2015. On 7 November 2018, the GraphQL project was moved from Facebook  to the newlyestablished GraphQL foundation, hosted by the nonprofit Linux Foundation.","GraphQL is an opensource data query and manipulation language for APIs,  and a runtime for fulfilling queries with existing data. GraphQL was  developed internally by Facebook in 2012 before being publicly released i n 2015. On 7 November 2018, the GraphQL project was moved from Facebook  to the newlyestablished GraphQL foundation, hosted by the nonprofit Linux Foundation."
JSON validation schema,"JSON Schema is a vocabulary that allows you to annotate and validate JSON documents.  When adding schema''s to your or JSON files you have better control over what type of userinput can be supplied in your application.  This dramatically decreases an attacker’s vector when implemented the right way.  Nonetheless, you should always apply your own input validation and rejection as an extra layer of defense. This approach is also desirable since you also  want to do countering and logging on the user’s requests and input.","JSON Schema is a vocabulary that allows you to annotate and validate JSON documents.  When adding schema''s to your or JSON files you have better control over what type of userinput can be supplied in your application.  This dramatically decreases an attacker’s vector when implemented the right way.  Nonetheless, you should always apply your own input validation and rejection as an extra layer of defense. This approach is also desirable since you also  want to do countering and logging on the user’s requests and input."
Serve files whitelist.,Configiring the web server to only serve files with an expected file extension helps prevent information leakage whenever developers forget to remove backup files or zipped versions of the web application from the webserver.,Configiring the web server to only serve files with an expected file extension helps prevent information leakage whenever developers forget to remove backup files or zipped versions of the web application from the webserver.
User supplied scriptable or expression template language content,"usersupplied scriptable or expression template language content, such as Markdown,  CSS or XSL stylesheets, BBCode, or similar are designed to give users the option to add a lot of rich styling to the application. However whenever these templates  do not filter for harmfull attacks, these templates can be used to leverage XSS attacks.","usersupplied scriptable or expression template language content, such as Markdown,  CSS or XSL stylesheets, BBCode, or similar are designed to give users the option to add a lot of rich styling to the application. However whenever these templates  do not filter for harmfull attacks, these templates can be used to leverage XSS attacks."
Replay attacks,"A replay attack (also known as playback attack) is a form of attack in which a valid data transmission is maliciously or fraudulently repeated or delayed.  This is carried out either by the originator or by an adversary who intercepts the data and retransmits it. This is one of the lower tier versions of a ""Maninthemiddle attack"".","A replay attack (also known as playback attack) is a form of attack in which a valid data transmission is maliciously or fraudulently repeated or delayed.  This is carried out either by the originator or by an adversary who intercepts the data and retransmits it. This is one of the lower tier versions of a ""Maninthemiddle attack""."
Same site attribute,SameSite prevents the browser from sending this cookie along with crosssite requests.  The main goal is mitigate the risk of crossorigin information leakage. It also provides some  protection against crosssite request forgery attacks.,SameSite prevents the browser from sending this cookie along with crosssite requests.  The main goal is mitigate the risk of crossorigin information leakage. It also provides some  protection against crosssite request forgery attacks.
Host prefix,"the ''__Host"" prefix signals to the browser that both the Path=/ and Secure attributes are required,  and at the same time, that the Domain attribute may not be present.","the ''__Host"" prefix signals to the browser that both the Path=/ and Secure attributes are required,  and at the same time, that the Domain attribute may not be present."
Race conditions,"A race condition is a flaw that produces an unexpected result when the timing of actions impact other actions.  An example may be seen on a multithreaded application where actions are being performed on the same data.  Race conditions, by their very nature, are difficult to test for.  Race conditions may occur when a process is critically or unexpectedly dependent on the sequence or timings of  other events. In a web application environment, where multiple requests can be processed at a given time,  developers may leave concurrency to be handled by the framework, server, or programming language.","A race condition is a flaw that produces an unexpected result when the timing of actions impact other actions.  An example may be seen on a multithreaded application where actions are being performed on the same data.  Race conditions, by their very nature, are difficult to test for.  Race conditions may occur when a process is critically or unexpectedly dependent on the sequence or timings of  other events. In a web application environment, where multiple requests can be processed at a given time,  developers may leave concurrency to be handled by the framework, server, or programming language."
Sub domain take over,"Subdomain takeover is a process of registering a nonexisting domain name to gain control over another domain.  The most common scenario of this process follows:  Domain name (e.g., sub.example.com) uses a CNAME record to another domain (e.g., sub.example.com CNAME anotherdomain.com). At some point in time, anotherdomain.com expires and is available for registration by anyone. Since the CNAME record is not deleted from example.com DNS zone, anyone who registers anotherdomain.com has full control over sub.example.com until the DNS record is present.  The implications of the subdomain takeover can be pretty significant. Using a subdomain takeover, attackers can send phishing emails from the legitimate domain, perform crosssite scripting (XSS), or damage the  reputation of the brand which is associated with the domain.   Source: https://0xpatrik.com/subdomaintakeoverbasics/","Subdomain takeover is a process of registering a nonexisting domain name to gain control over another domain.  The most common scenario of this process follows:  Domain name (e.g., sub.example.com) uses a CNAME record to another domain (e.g., sub.example.com CNAME anotherdomain.com). At some point in time, anotherdomain.com expires and is available for registration by anyone. Since the CNAME record is not deleted from example.com DNS zone, anyone who registers anotherdomain.com has full control over sub.example.com until the DNS record is present.  The implications of the subdomain takeover can be pretty significant. Using a subdomain takeover, attackers can send phishing emails from the legitimate domain, perform crosssite scripting (XSS), or damage the  reputation of the brand which is associated with the domain.   Source: https://0xpatrik.com/subdomaintakeoverbasics/"
No password rotation policy,"Some policies require users to change passwords periodically, often every 90 or 180 days.  The benefit of password expiration, however, is debatable. Systems that implement such  policies sometimes prevent users from picking a password too close to a previous selection.  This policy can often backfire. Some users find it hard to devise ""good"" passwords that are  also easy to remember, so if people are required to choose many passwords because they have  to change them often, they end up using much weaker passwords; the policy also encourages  users to write passwords down. Also, if the policy prevents a user from repeating a recent password,  this requires that there is a database in existence of everyone''s recent passwords (or their hashes)  instead of having the old ones erased from memory. Finally, users may change their password repeatedly within a few minutes, and then change back to the one they really want to use, circumventing the  password change policy altogether.","Some policies require users to change passwords periodically, often every 90 or 180 days.  The benefit of password expiration, however, is debatable. Systems that implement such  policies sometimes prevent users from picking a password too close to a previous selection.  This policy can often backfire. Some users find it hard to devise ""good"" passwords that are  also easy to remember, so if people are required to choose many passwords because they have  to change them often, they end up using much weaker passwords; the policy also encourages  users to write passwords down. Also, if the policy prevents a user from repeating a recent password,  this requires that there is a database in existence of everyone''s recent passwords (or their hashes)  instead of having the old ones erased from memory. Finally, users may change their password repeatedly within a few minutes, and then change back to the one they really want to use, circumventing the  password change policy altogether."
User notification on critical state changing operations,"When a user is informed of critical operations than the user can determine if the notification is send by his own actions, or that the notifucation indicates  potential compromitation of his user account.","When a user is informed of critical operations than the user can determine if the notification is send by his own actions, or that the notifucation indicates  potential compromitation of his user account."
Stateless session tokens,"Exception handling is the process of responding to the occurrence, during computation,  of exceptions – anomalous or exceptional conditions requiring special processing  often disrupting the normal flow of program execution. It is provided by specialized  programming language constructs, computer hardware mechanisms like interrupts or operating  system IPC facilities like signals.  In general, an exception breaks the normal flow of execution and executes a preregistered  exception handler. The details of how this is done depends on whether it is a hardware or  software exception and how the software exception is implemented. Some exceptions,  especially hardware ones, may be handled so gracefully that execution can resume where it was interrupted.  Alternative approaches to exception handling in software are error checking,  which maintains normal program flow with later explicit checks for contingencies  reported using special return values or some auxiliary global variable  such as C''s errno or floating point status flags; or input validation to preemptively  filter exceptional cases.","Exception handling is the process of responding to the occurrence, during computation,  of exceptions – anomalous or exceptional conditions requiring special processing  often disrupting the normal flow of program execution. It is provided by specialized  programming language constructs, computer hardware mechanisms like interrupts or operating  system IPC facilities like signals.  In general, an exception breaks the normal flow of execution and executes a preregistered  exception handler. The details of how this is done depends on whether it is a hardware or  software exception and how the software exception is implemented. Some exceptions,  especially hardware ones, may be handled so gracefully that execution can resume where it was interrupted.  Alternative approaches to exception handling in software are error checking,  which maintains normal program flow with later explicit checks for contingencies  reported using special return values or some auxiliary global variable  such as C''s errno or floating point status flags; or input validation to preemptively  filter exceptional cases."
Back up data,"Static program analysis is the analysis of computer software that is performed without actually  executing programs, in contrast with dynamic analysis, which is analysis performed on programs  while they are executing.[1] In most cases the analysis is performed on some version of the source code,  and in the other cases, some form of the object code.  The term is usually applied to the analysis performed by an automated tool, with human analysis being  called program understanding, program comprehension, or code review. Software inspections and software  walkthroughs are also used in the latter case.","Static program analysis is the analysis of computer software that is performed without actually  executing programs, in contrast with dynamic analysis, which is analysis performed on programs  while they are executing.[1] In most cases the analysis is performed on some version of the source code,  and in the other cases, some form of the object code.  The term is usually applied to the analysis performed by an automated tool, with human analysis being  called program understanding, program comprehension, or code review. Software inspections and software  walkthroughs are also used in the latter case."
TLS,"Transport Layer Security (TLS), and its nowdeprecated predecessor, Secure Sockets Layer (SSL), are cryptographic protocols designed to provide communications security over a computer network. Several versions of the protocols find widespread use in applications such as web browsing, email, instant messaging, and voice over IP (VoIP). Websites can use TLS to secure all communications between their servers and web browsers.  The TLS protocol aims primarily to provide privacy and data integrity between two or more communicating computer applications.[2]:3 When secured by TLS, connections between a client  (e.g., a web browser) and a server (e.g., wikipedia.org) should have one or more of the following properties:  The connection is private (or secure) because symmetric cryptography is used to encrypt the data transmitted.  The keys for this symmetric encryption are generated uniquely for each connection and are based on a shared  secret that was negotiated at the start of the session. The server and client negotiate  the details of which encryption algorithm and cryptographic keys to use before the first byte of data is transmitted.  The negotiation of a shared secret is both secure (the negotiated secret is unavailable to eavesdroppers and cannot be  obtained, even by an attacker who places themselves in the middle of the connection) and reliable  (no attacker can modify the communications during the negotiation without being detected).  The identity of the communicating parties can be authenticated using publickey cryptography.  This authentication can be made optional, but is generally required for at least one of the parties (typically the server).  The connection is reliable because each message transmitted includes a message integrity check using  a message authentication code to prevent undetected loss or alteration of the data during transmission.  In addition to the properties above, careful configuration of TLS can provide additional privacyrelated properties  such as forward secrecy, ensuring that any future disclosure of encryption keys cannot be used to decrypt any  TLS communications recorded in the past","Transport Layer Security (TLS), and its nowdeprecated predecessor, Secure Sockets Layer (SSL), are cryptographic protocols designed to provide communications security over a computer network. Several versions of the protocols find widespread use in applications such as web browsing, email, instant messaging, and voice over IP (VoIP). Websites can use TLS to secure all communications between their servers and web browsers.  The TLS protocol aims primarily to provide privacy and data integrity between two or more communicating computer applications.[2]:3 When secured by TLS, connections between a client  (e.g., a web browser) and a server (e.g., wikipedia.org) should have one or more of the following properties:  The connection is private (or secure) because symmetric cryptography is used to encrypt the data transmitted.  The keys for this symmetric encryption are generated uniquely for each connection and are based on a shared  secret that was negotiated at the start of the session. The server and client negotiate  the details of which encryption algorithm and cryptographic keys to use before the first byte of data is transmitted.  The negotiation of a shared secret is both secure (the negotiated secret is unavailable to eavesdroppers and cannot be  obtained, even by an attacker who places themselves in the middle of the connection) and reliable  (no attacker can modify the communications during the negotiation without being detected).  The identity of the communicating parties can be authenticated using publickey cryptography.  This authentication can be made optional, but is generally required for at least one of the parties (typically the server).  The connection is reliable because each message transmitted includes a message integrity check using  a message authentication code to prevent undetected loss or alteration of the data during transmission.  In addition to the properties above, careful configuration of TLS can provide additional privacyrelated properties  such as forward secrecy, ensuring that any future disclosure of encryption keys cannot be used to decrypt any  TLS communications recorded in the past"
Code signing,"Code signing is the process of digitally signing executables and scripts to confirm the software  author and guarantee that the code has not been altered or corrupted since it was signed.  The process employs the use of a cryptographic hash to validate authenticity and integrity.  Code signing can provide several valuable features. The most common use of code signing is to  provide security when deploying; in some programming languages, it can also be used to help prevent  namespace conflicts. Almost every code signing implementation will provide some sort of digital  signature mechanism to verify the identity of the author or build system, and a checksum to verify  that the object has not been modified. It can also be used to provide versioning information about an  object or to store other meta data about an objec","Code signing is the process of digitally signing executables and scripts to confirm the software  author and guarantee that the code has not been altered or corrupted since it was signed.  The process employs the use of a cryptographic hash to validate authenticity and integrity.  Code signing can provide several valuable features. The most common use of code signing is to  provide security when deploying; in some programming languages, it can also be used to help prevent  namespace conflicts. Almost every code signing implementation will provide some sort of digital  signature mechanism to verify the identity of the author or build system, and a checksum to verify  that the object has not been modified. It can also be used to provide versioning information about an  object or to store other meta data about an objec"
Secure random generators,This item is currently not available.,This item is currently not available.
Sensitive Information Exposure in URL,"If the application logic transmits session IDs in the URL, their values could be leaked through the Referer header to thirdparty websites, logged by proxy servers, bookmarked in the browser, accidentally sent via emails or chats.  Whenever the session ID is disclosed in the URL there might be also the possibility to perform other attacks (like session fixation) that lead to session hijacking.","If the application logic transmits session IDs in the URL, their values could be leaked through the Referer header to thirdparty websites, logged by proxy servers, bookmarked in the browser, accidentally sent via emails or chats.  Whenever the session ID is disclosed in the URL there might be also the possibility to perform other attacks (like session fixation) that lead to session hijacking."
Sensitive Information Exposure in client Side Storage,The application should always generate a new session ID only after the user submits a set of valid credentials upon authentication. This is meant to prevent an attacker from performing Session Fixation attacks against other users.,The application should always generate a new session ID only after the user submits a set of valid credentials upon authentication. This is meant to prevent an attacker from performing Session Fixation attacks against other users.
Secure Generation of Session Tokens,"The application should always generate session IDs with a sufficient level of entropy. The goal to use randomly generated values for tokens is that of preventing session collision or session hijacking. If an attacker can guess an authenticated user''s session identifier, he can take over the user''s session. Moreover, an attacker that breaks the algorithm logic behind the session IDs generation might be able to arbitrary craft valid session tokens for any user.","The application should always generate session IDs with a sufficient level of entropy. The goal to use randomly generated values for tokens is that of preventing session collision or session hijacking. If an attacker can guess an authenticated user''s session identifier, he can take over the user''s session. Moreover, an attacker that breaks the algorithm logic behind the session IDs generation might be able to arbitrary craft valid session tokens for any user."
Ensure Session Validation in Credential Service Provider and Relying Parties.md,A Credential Service Provider (or Identity Provider) is an Identity Access Management entity that releases security tokens to users of specific services (called Relying Parties or Service Providers). An Identity Provider makes possible to authenticate the user to registered services without actually requiring them to login again for every application.  When deploying a Credential Service Provider it is necessary to verify that the Credential Service Provider and Relying Parties handle the session management mechanisms in a secure way.,A Credential Service Provider (or Identity Provider) is an Identity Access Management entity that releases security tokens to users of specific services (called Relying Parties or Service Providers). An Identity Provider makes possible to authenticate the user to registered services without actually requiring them to login again for every application.  When deploying a Credential Service Provider it is necessary to verify that the Credential Service Provider and Relying Parties handle the session management mechanisms in a secure way.
Permit Password Change,"Users should be able to update their password whenever it is necessary. For example, take in consideration the scenario in which they tend to use the same password for multiple purposes. If this password is leaked, the users have to immediately update their credentials in every application they are registered. Therefore, if the application does not provide an accessible password update functionality to a user, there is the risk that his account may be taken over.","Users should be able to update their password whenever it is necessary. For example, take in consideration the scenario in which they tend to use the same password for multiple purposes. If this password is leaked, the users have to immediately update their credentials in every application they are registered. Therefore, if the application does not provide an accessible password update functionality to a user, there is the risk that his account may be taken over."
Provide Password Strength Checker,"Users may tend to choose easy guessable passwords. Therefore, it is suggested to implement a functionality that encourage them to set password of higher complexity.","Users may tend to choose easy guessable passwords. Therefore, it is suggested to implement a functionality that encourage them to set password of higher complexity."
Verify Breached Passwords,"Multiple database of leaked credentials have been released during breaches over the years. If users choose passwords already leaked, they are vulnerable to dictionary attacks.","Multiple database of leaked credentials have been released during breaches over the years. If users choose passwords already leaked, they are vulnerable to dictionary attacks."
Offline Attacks on Passwords,"Passwords stored locally are often vulnerable to offline attacks like dictionary attacks(list of commonly known passwords), bruteforce(permutation of all possible combinations) and rainbow tables(generate hashes upfront and do a look up for each hash). Since we belong to a generation of high speed computers performing these attacks is quite a trivial task for the attackers.","Passwords stored locally are often vulnerable to offline attacks like dictionary attacks(list of commonly known passwords), bruteforce(permutation of all possible combinations) and rainbow tables(generate hashes upfront and do a look up for each hash). Since we belong to a generation of high speed computers performing these attacks is quite a trivial task for the attackers."
Password Hash Salt Length,"For secure storage of passwords, it is recommended to hash the passwords with a unique salt. A salt is a nonsecret, unique value in the database which is appended (depending on the used algorithm) to the password before it gets hashed. A salt is used to prevent Rainbow Table lookups (an attack where you compute a table of hashes for passwords). The length of a salt is critical to ensure true randomness and entropy amongst the hashed password and prevent collusion.","For secure storage of passwords, it is recommended to hash the passwords with a unique salt. A salt is a nonsecret, unique value in the database which is appended (depending on the used algorithm) to the password before it gets hashed. A salt is used to prevent Rainbow Table lookups (an attack where you compute a table of hashes for passwords). The length of a salt is critical to ensure true randomness and entropy amongst the hashed password and prevent collusion."
